epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.304,1.85733,2.64753,2.08849,0.29003,0.34916,0.24906,0.09757,2.19676,5.66786,2.64364,0.000411036,0.000411036,0.000411036
2,221.765,1.89154,2.02649,1.99463,0.31185,0.28356,0.22231,0.06229,2.63377,5.2405,4.11253,0.000786731,0.000786731,0.000786731
3,304.208,1.94384,2.0226,1.97197,0.86905,0.04808,0.06397,0.01675,3.23101,8.72924,4.28659,0.00112118,0.00112118,0.00112118
4,385.461,1.92664,1.92297,1.95534,0.46791,0.30565,0.31112,0.12763,2.27186,3.68719,2.8022,0.00106437,0.00106437,0.00106437
5,472.839,1.87582,1.85099,1.91705,0.36172,0.3452,0.23885,0.08538,2.76455,3.6134,3.33186,0.0010025,0.0010025,0.0010025
6,554.467,1.85845,1.78246,1.88513,0.66388,0.53688,0.64748,0.27355,1.95359,2.21124,2.09209,0.000940625,0.000940625,0.000940625
7,641.536,1.79444,1.6387,1.82329,0.66942,0.41209,0.43048,0.18875,2.01341,3.01175,2.18142,0.00087875,0.00087875,0.00087875
8,724.466,1.74637,1.5833,1.80108,0.62678,0.62913,0.65564,0.27058,2.01799,1.54574,2.11177,0.000816875,0.000816875,0.000816875
9,805.242,1.75868,1.53462,1.8085,0.73546,0.75533,0.80085,0.35197,1.84805,1.40608,1.94771,0.000755,0.000755,0.000755
10,892.372,1.74038,1.45618,1.77292,0.79212,0.81119,0.8265,0.36436,1.87491,1.20125,1.93041,0.000693125,0.000693125,0.000693125
11,987.67,1.78882,1.35143,1.87828,0.62754,0.68667,0.67772,0.31125,1.87928,1.54907,1.97238,0.00063125,0.00063125,0.00063125
12,1066.56,1.79026,1.29904,1.86979,0.77123,0.76165,0.83263,0.38388,1.85311,1.18368,1.89206,0.000569375,0.000569375,0.000569375
13,1151.38,1.7337,1.23648,1.83928,0.78867,0.81119,0.83235,0.39767,1.77708,1.12685,1.86262,0.0005075,0.0005075,0.0005075
14,1239.54,1.72722,1.17663,1.83811,0.7156,0.78696,0.82448,0.37118,1.8942,1.17556,1.951,0.000445625,0.000445625,0.000445625
15,1320.19,1.68025,1.10379,1.79658,0.84602,0.80411,0.86126,0.4209,1.77305,1.07036,1.82815,0.00038375,0.00038375,0.00038375
16,1406.33,1.67633,1.06252,1.80982,0.74043,0.82902,0.83289,0.38698,1.81633,1.0478,1.89328,0.000321875,0.000321875,0.000321875
17,1486.21,1.66382,1.05377,1.77513,0.75211,0.77029,0.83549,0.43288,1.70086,1.04325,1.77357,0.00026,0.00026,0.00026
18,1572.26,1.59756,1.02107,1.7278,0.77216,0.83471,0.86813,0.43112,1.75881,1.01567,1.83971,0.000198125,0.000198125,0.000198125
19,1652.04,1.59811,0.98803,1.72389,0.88122,0.78863,0.89141,0.43978,1.75745,0.96311,1.83477,0.00013625,0.00013625,0.00013625
20,1739.99,1.55862,0.93761,1.68794,0.84008,0.84886,0.90262,0.4594,1.71139,0.9315,1.80691,7.4375e-05,7.4375e-05,7.4375e-05
